ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,unit_id,func,network_direction,address,quantity,values,Time
1593264451.071009,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,1,1,F,1593264451.071009
1593264451.07429,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,1,1,F,1593264451.07429
1593264451.074393,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,2,1,F,1593264451.074393
1593264451.077571,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,2,1,F,1593264451.077571
1593264451.077684,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,3,1,F,1593264451.077684
1593264451.080816,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,3,1,F,1593264451.080816
1593264451.08092,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,4,1,F,1593264451.08092
1593264451.08421,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,4,1,F,1593264451.08421
1593264451.084321,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,5,1,F,1593264451.084321
1593264451.087586,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,5,1,F,1593264451.087586
1593264451.087701,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,6,1,F,1593264451.087701
1593264451.090915,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,6,1,F,1593264451.090915
1593264451.09094,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,7,1,F,1593264451.09094
1593264451.09427,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,7,1,F,1593264451.09427
1593264451.094386,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,8,1,F,1593264451.094386
1593264451.097591,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,8,1,F,1593264451.097591
1593264451.097665,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,9,1,F,1593264451.097665
1593264451.100837,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,9,1,F,1593264451.100837
1593264451.100912,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,10,1,F,1593264451.100912
1593264451.104215,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,10,1,F,1593264451.104215
1593264451.104295,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,11,1,F,1593264451.104295
1593264451.107538,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,11,1,F,1593264451.107538
1593264451.107688,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,12,1,F,1593264451.107688
1593264451.110841,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,12,1,F,1593264451.110841
1593264451.110961,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,13,1,F,1593264451.110961
1593264451.1143,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,13,1,F,1593264451.1143
1593264451.114389,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,14,1,F,1593264451.114389
1593264451.117634,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,14,1,F,1593264451.117634
1593264451.618208,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,0,1,F,1593264451.618208
1593264451.619271,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,0,1,F,1593264451.619271
1593264451.619386,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,1,1,T,1593264451.619386
1593264451.622686,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,1,1,T,1593264451.622686
1593264451.622755,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,2,1,F,1593264451.622755
1593264451.626049,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,2,1,F,1593264451.626049
1593264451.626131,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,3,1,F,1593264451.626131
1593264451.629377,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,3,1,F,1593264451.629377
1593264451.629503,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,4,1,F,1593264451.629503
1593264451.632518,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,4,1,F,1593264451.632518
1593264451.632615,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,5,1,F,1593264451.632615
1593264451.635782,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,5,1,F,1593264451.635782
1593264451.635834,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,6,1,F,1593264451.635834
1593264451.639137,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,6,1,F,1593264451.639137
1593264451.639211,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,7,1,T,1593264451.639211
1593264451.64254,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,7,1,T,1593264451.64254
1593264452.142976,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,0,1,F,1593264452.142976
1593264452.144131,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,response,0,1,F,1593264452.144131
1593264452.144282,CDmBQ44DZTqzTlgDs6,123.145.120.99,23680,123.145.120.102,502,1,WRITE_SINGLE_COIL,request,1,1,F,1593264452.144282
