"No.","Time","Source","Destination","Protocol","Info"
"1647322","1593265515.034692","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  7646; Unit:   1, Func:   5: Write Single Coil"
"1647323","1593265515.034766","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  7812; Unit:   1, Func:   5: Write Single Coil"
"1647326","1593265515.037980","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  7812; Unit:   1, Func:   5: Write Single Coil"
"1647327","1593265515.038012","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 62196; Unit:   1, Func:   5: Write Single Coil"
"1647335","1593265515.041509","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 62196; Unit:   1, Func:   5: Write Single Coil"
"1647336","1593265515.041611","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 32226; Unit:   1, Func:   5: Write Single Coil"
"1647341","1593265515.044508","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 32226; Unit:   1, Func:   5: Write Single Coil"
"1647342","1593265515.044550","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 20208; Unit:   1, Func:   5: Write Single Coil"
"1647347","1593265515.047761","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 20208; Unit:   1, Func:   5: Write Single Coil"
"1647348","1593265515.047827","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  4819; Unit:   1, Func:   5: Write Single Coil"
"1647357","1593265515.051896","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  4819; Unit:   1, Func:   5: Write Single Coil"
"1648246","1593265515.551961","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 19731; Unit:   1, Func:   5: Write Single Coil"
"1648250","1593265515.553192","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 19731; Unit:   1, Func:   5: Write Single Coil"
"1648251","1593265515.553318","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 22891; Unit:   1, Func:   5: Write Single Coil"
"1648256","1593265515.556564","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 22891; Unit:   1, Func:   5: Write Single Coil"
"1648257","1593265515.556667","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 19764; Unit:   1, Func:   5: Write Single Coil"
"1648269","1593265515.559783","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 19764; Unit:   1, Func:   5: Write Single Coil"
"1648270","1593265515.559896","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  8852; Unit:   1, Func:   5: Write Single Coil"
"1648276","1593265515.562857","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  8852; Unit:   1, Func:   5: Write Single Coil"
"1648277","1593265515.562974","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 42221; Unit:   1, Func:   5: Write Single Coil"
"1648282","1593265515.566303","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 42221; Unit:   1, Func:   5: Write Single Coil"
"1648283","1593265515.566425","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  3873; Unit:   1, Func:   5: Write Single Coil"
"1648290","1593265515.569440","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  3873; Unit:   1, Func:   5: Write Single Coil"
"1648291","1593265515.569579","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 43859; Unit:   1, Func:   5: Write Single Coil"
"1648298","1593265515.572786","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 43859; Unit:   1, Func:   5: Write Single Coil"
"1648299","1593265515.572893","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 60183; Unit:   1, Func:   5: Write Single Coil"
"1648304","1593265515.576157","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 60183; Unit:   1, Func:   5: Write Single Coil"
"1649626","1593265516.076521","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 15176; Unit:   1, Func:   5: Write Single Coil"
"1649628","1593265516.078079","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 15176; Unit:   1, Func:   5: Write Single Coil"
"1649629","1593265516.078163","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 20007; Unit:   1, Func:   5: Write Single Coil"
"1649635","1593265516.081353","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 20007; Unit:   1, Func:   5: Write Single Coil"
"1649636","1593265516.081483","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 59664; Unit:   1, Func:   5: Write Single Coil"
"1649643","1593265516.084478","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 59664; Unit:   1, Func:   5: Write Single Coil"
"1649644","1593265516.084565","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 44274; Unit:   1, Func:   5: Write Single Coil"
"1649652","1593265516.087795","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 44274; Unit:   1, Func:   5: Write Single Coil"
"1649653","1593265516.087824","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 53117; Unit:   1, Func:   5: Write Single Coil"
"1649660","1593265516.091127","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 53117; Unit:   1, Func:   5: Write Single Coil"
"1649661","1593265516.091220","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 51443; Unit:   1, Func:   5: Write Single Coil"
"1649666","1593265516.094568","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 51443; Unit:   1, Func:   5: Write Single Coil"
"1649667","1593265516.094643","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 44864; Unit:   1, Func:   5: Write Single Coil"
"1649671","1593265516.097874","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 44864; Unit:   1, Func:   5: Write Single Coil"
"1649672","1593265516.097957","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  4478; Unit:   1, Func:   5: Write Single Coil"
"1649678","1593265516.101202","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  4478; Unit:   1, Func:   5: Write Single Coil"
"1649679","1593265516.101288","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:   300; Unit:   1, Func:   5: Write Single Coil"
"1649688","1593265516.104785","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:   300; Unit:   1, Func:   5: Write Single Coil"
"1649689","1593265516.104819","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 16906; Unit:   1, Func:   5: Write Single Coil"
"1649699","1593265516.108173","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 16906; Unit:   1, Func:   5: Write Single Coil"
"1649701","1593265516.108295","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans: 60340; Unit:   1, Func:   5: Write Single Coil"
"1649706","1593265516.111481","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans: 60340; Unit:   1, Func:   5: Write Single Coil"
"1649707","1593265516.111549","123.145.120.99","123.145.120.102","Modbus/TCP","   Query: Trans:  2961; Unit:   1, Func:   5: Write Single Coil"
"1649724","1593265516.114846","123.145.120.102","123.145.120.99","Modbus/TCP","Response: Trans:  2961; Unit:   1, Func:   5: Write Single Coil"
